by,bin,n_plays,actual
All,-3.5,118,-3.7033898305084745
All,-3.0,1106,-2.830922242314647
All,-2.5,4027,-2.3096597963744725
All,-2.0,9399,-1.8486009149909566
All,-1.5,18284,-1.40970247210676
All,-1.0,44904,-0.9645465882772136
All,-0.5,68292,-0.5008492942072278
All,-0.0,100087,-0.04247304844785037
All,0.5,143749,0.4260481812047388
All,1.0,161514,0.9429523137313174
All,1.5,128831,1.4091717055677593
All,2.0,101718,1.8920446725260032
All,2.5,95633,2.3738563048320143
All,3.0,81939,2.8907479954600372
All,3.5,66208,3.4287397293378445
All,4.0,60192,3.953133306751728
All,4.5,47345,4.482521913612842
All,5.0,31930,4.956999686814908
All,5.5,15843,5.467651328662501
All,6.0,10629,5.988239721516606
All,6.5,3886,6.32089552238806
